NOME;REGISTRO;NASCIMENTO;IABCZ;DECA;F;DEP_PN_ED;DEP_PD_ED;DEP_PA_ED;DEP_PS_ED;DEP_PM_EM;DEP_TMD;DEP_IPP;DEP_STAY;DEP_PE_365;DEP_PE_450;DEP_E;DEP_P;DEP_M;DEP_AOL;DEP_ACAB;DEP_MAR;AC_PN_ED;AC_PD_ED;AC_PA_ED;AC_PS_ED;AC_PM_EM;AC_TMD;AC_IPP;AC_STAY;AC_PE_365;AC_PE_450;AC_E;AC_P;AC_M;AC_AOL;AC_ACAB;AC_MAR;DECA_PN_ED;DECA_PD_ED;DECA_PA_ED;DECA_PS_ED;DECA_PM_EM;DECA_TMD;DECA_IPP;DECA_STAY;DECA_PE_365;DECA_PE_450;DECA_E;DECA_P;DECA_M;DECA_AOL;DECA_ACAB;DECA_MAR
ATACADO;NEBJ123;23/09/2015;16,96;1;0,98;-0,24;78;2;3,79;78;3;7,06;75;2;9,04;77;2;2,79;37;1;6,37;0;1;-15,44;30;1;39,11;25;1;0,919;63;1;1,483;62;1;0,945;50;3;1,751;50;2;2,659;50;1;2,799;42;1;-0,371;31;7;0,26;29;4
1070 DA TERRA BRAVA;EPCF1070;06/10/2014;16,94;1;0,0;0,30;92;8;7,70;93;1;8,78;91;1;12,40;92;1;0,25;63;5;2,29;0;3;-13,79;61;1;39,50;29;1;0,690;86;1;0,905;87;1;0,537;86;4;1,983;86;2;1,399;86;2;4,085;83;1;0,628;76;3;0,86;48;2
DOLMAN;IZSNA977;13/11/2004;16,87;1;1,56;0,63;94;10;8,54;95;1;12,86;94;1;17,16;95;1;1,39;90;2;5,92;0;1;-10,56;88;2;35,19;84;1;0,349;89;2;0,116;92;5;2,289;92;1;3,294;92;1;2,521;92;1;2,074;90;1;0,104;85;5;-0,24;81;6
CZAR MATI;MATI1788;03/09/2017;16,85;1;2,34;-0,24;73;2;4,39;72;2;5,89;63;2;13,24;65;1;1,89;37;2;4,96;0;1;-23,56;30;1;38,12;23;1;0,293;46;3;1,075;44;1;2,058;38;1;2,278;38;1;3,665;38;1;4,073;52;1;0,876;42;2;1,42;40;1
CAPITAO;TECO195;29/07/2002;16,75;1;2,64;0,68;91;10;4,69;91;2;7,33;90;2;13,56;91;1;0,22;83;5;2,72;0;3;-34,78;79;1;36,53;68;1;0,224;83;3;0,321;87;3;1,652;88;1;4,135;88;1;4,072;88;1;0,667;76;3;-1,297;66;10;1,06;61;1
D6595 DA MN;LBMND6595;28/08/2011;16,75;1;0,39;0,00;92;4;2,35;93;4;5,34;91;3;8,66;92;2;3,66;78;1;5,71;0;1;-17,04;78;1;43,42;22;1;-0,531;86;10;-0,273;88;8;0,252;85;5;2,619;85;1;1,577;85;2;3,703;87;1;1,220;81;1;1,69;69;1
TANU FIV DE NAVIRAI;CSCR1167;26/11/2017;16,74;1;0,98;0,51;75;10;6,07;71;1;10,19;43;1;11,49;43;1;3,66;16;1;6,56;0;1;-18,42;14;1;34,69;10;1;0,711;20;1;0,886;23;1;2,369;17;1;3,626;17;1;2,109;17;1;0,445;20;4;1,903;17;1;0,03;10;5
MARISCO;I3448;09/09/1992;16,7;1;0,0;0,36;95;9;5,21;95;2;8,68;94;1;16,24;95;1;-1,74;93;9;-0,15;0;7;-23,08;92;1;40,65;91;1;0,072;89;5;0,322;92;3;1,291;91;2;5,304;91;1;3,968;91;1;2,776;88;1;0,447;84;3;2,37;80;1
C4580 DA MN;MANAC4580;10/01/2000;16,66;1;0,98;-0,03;82;4;3,95;81;2;6,82;78;2;9,23;79;2;3,07;71;1;5,19;0;1;-7,24;62;3;41,88;56;1;0,582;72;1;1,318;76;1;-1,409;69;10;0,190;69;5;0,890;69;3;0,251;68;5;-0,582;57;8;1,62;49;1
REM VANCO;REM6405;18/10/2010;16,64;1;4,98;1,75;72;10;5,78;70;1;9,43;68;1;14,35;71;1;-2,47;52;10;-0,34;0;7;-23,79;36;1;40,46;35;1;0,292;54;3;1,020;60;1;0,436;24;5;3,695;24;1;3,396;24;1;1,750;69;1;0,338;59;4;-1,11;51;10
JANGUE VB DA VALE;VBV6969;25/04/2007;16,57;1;1,27;0,36;81;9;6,46;81;1;7,74;80;1;9,82;81;1;1,22;71;3;3,78;0;2;-21,36;56;1;38,04;53;1;0,553;60;1;1,538;77;1;-0,596;84;9;5,854;84;1;1,570;84;2;0,329;26;5;0,689;15;2;0,79;14;2
