NOME;REGISTRO;NASCIMENTO;IABCZ;DECA;F;DEP_PN_ED;DEP_PD_ED;DEP_PA_ED;DEP_PS_ED;DEP_PM_EM;DEP_TMD;DEP_IPP;DEP_STAY;DEP_PE_365;DEP_PE_450;DEP_E;DEP_P;DEP_M;DEP_AOL;DEP_ACAB;DEP_MAR;AC_PN_ED;AC_PD_ED;AC_PA_ED;AC_PS_ED;AC_PM_EM;AC_TMD;AC_IPP;AC_STAY;AC_PE_365;AC_PE_450;AC_E;AC_P;AC_M;AC_AOL;AC_ACAB;AC_MAR;DECA_PN_ED;DECA_PD_ED;DECA_PA_ED;DECA_PS_ED;DECA_PM_EM;DECA_TMD;DECA_IPP;DECA_STAY;DECA_PE_365;DECA_PE_450;DECA_E;DECA_P;DECA_M;DECA_AOL;DECA_ACAB;DECA_MAR
TORNADO_MAT;RDM7142;29/09/2013;20,74;1;0,20;1,44;11,12;17,74;22,69;-2,29;2,67;-6,99;38,45;1,384;2,000;3,772;4,725;3,364;3,741;-0,664;0,89;80;80;78;79;53;_;46;29;72;71;61;61;61;71;61;42;10;1;1;1;10;3;3;1;1;1;1;1;1;1;8;2
BARAC_FIV_DA_S.NICE;GRIA9868;07/12/2009;20,69;1;4,83;-0,51;4,40;9,25;11,53;9,29;12,62;-30,06;33,58;0,607;1,157;1,522;2,658;1,614;-1,107;-0,126;-0,63;86;87;83;86;65;_;66;39;70;77;79;79;79;71;61;59;1;2;1;1;1;1;1;2;1;1;1;1;2;9;6;8
BELGRADO_DA_S_NICE;GRIB2958;31/07/2013;20,68;1;0,0;0,04;5,92;9,93;12,60;2,58;6,62;-21,45;41,06;0,628;0,648;2,646;6,473;5,608;0,704;3,169;3,04;91;91;87;89;54;_;48;29;78;81;79;79;79;80;72;69;5;1;1;1;1;1;1;1;1;2;1;1;1;3;1;1
BLOQUEIO_JL_DA_BAMA;AIB1346;17/07/2009;20,65;1;0,0;-0,44;4,14;7,37;14,89;2,39;6,04;-12,78;45,09;0,440;1,263;1,266;5,258;3,996;-2,192;0,445;0,43;64;71;54;68;53;_;48;33;40;63;42;42;42;60;50;50;1;2;2;1;1;1;2;1;2;1;2;1;1;10;3;3
HARIOLO_DA_TRAD;TECO752;31/10/2007;20,65;1;2,05;0,48;8,63;15,03;22,29;3,15;7,86;-17,21;35,88;0,064;-0,313;0,917;5,107;4,785;1,525;-0,600;-1,41;83;84;80;83;67;_;66;38;71;77;73;73;73;69;58;47;10;1;1;1;1;1;1;1;5;8;3;1;1;1;8;10
B9707_DA_MN;MANAB9707;21/10/1996;20,62;1;0,59;-0,03;1,56;8,00;10,90;6,36;8,56;-17,7;41,37;1,043;1,401;1,657;3,017;1,418;0,947;1,441;-1,18;88;88;88;88;85;_;79;75;81;83;74;74;74;82;76;67;4;5;1;1;1;1;1;1;1;1;1;1;2;2;1;10
DOUTOR_DA_TERRA_BRAVA;EPCF2058;17/11/2016;20,62;1;6,45;1,36;10,17;9,29;14,44;3,97;9,81;-20,93;33,45;1,575;1,961;2,604;4,001;2,519;1,568;1,097;-1,55;85;87;84;86;39;_;29;18;77;78;71;71;71;78;70;44;10;1;1;1;1;1;1;2;1;1;1;1;1;1;1;10
FERTIL_DO_IZ;IZSNA 1561;22/10/2006;20,59;1;2,44;-0,04;7,63;14,61;22,93;-0,81;2,19;-23,32;33,45;0,087;0,724;4,487;3,231;1,042;2,058;-0,664;1,00;71;74;68;73;58;_;58;48;40;58;11;11;11;60;47;40;4;1;1;1;8;3;1;1;5;1;1;1;3;1;8;1
MADERO_KA;KAPM6539;02/09/2016;20,58;1;0,0;0,38;10,41;18,37;21,75;2,41;7,44;-13,74;32,97;1,000;1,290;-0,025;3,683;3,256;1,011;0,338;1,7;73;72;64;87;38;_;30;26;60;59;46;46;46;58;48;28;9;1;1;1;1;1;1;2;1;1;6;1;1;2;4;1
JATA JUMBO;JATA584;29/09/2012;20,57;1;0,0;0,02;7,78;9,63;12,77;-0,41;2,48;-27,19;40,20;1,348;1,958;-0,128;6,658;3,961;2,740;2,418;0,07;86;88;86;88;67;_;69;27;70;77;81;81;81;46;34;31;5;1;1;1;7;3;1;1;1;1;7;1;1;1;1;5
B5823_FIV_DA_S.NICE;GRIB5823;29/08/2016;20,56;1;2,34;-0,07;4,63;9,53;13,35;3,08;6,39;-22,4;39,07;1,359;1,995;2,155;4,681;3,870;4,528;-0,268;0,49;82;79;66;69;38;_;30;24;41;46;47;47;47;51;41;40;3;2;1;1;1;1;1;1;1;1;1;1;1;1;7;3
REM_CARTHAGO;REM9274;20/12/2013;20,56;1;1,66;-0,13;7,87;13,29;15,60;4,68;10,23;-15,87;34,29;1,306;1,997;0,419;4,89;3,158;0,473;4,188;2,91;85;84;74;81;41;_;32;16;62;75;37;37;37;77;68;66;3;1;1;1;1;1;1;1;1;1;5;1;1;4;1;1
REM_FANTASTICO;REMA883;28/08/2016;20,55;1;1,17;0,74;9,07;12,09;16,32;4,66;8,17;-13,15;36,09;1,037;1,706;3,336;3,495;5,436;1,751;2,513;1,44;81;82;75;80;37;_;28;22;65;74;55;55;55;78;71;67;10;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1
RUBAIAH_MAT.;RDM5102;04/08/2011;20,51;1;1,95;0,35;7,67;11,97;17,32;1,16;5,11;-30,34;36,34;0,743;1,193;1,313;4,396;4,014;2,068;1,220;1,58;83;84;82;83;68;_;64;49;72;74;70;70;70;60;48;35;9;1;1;1;3;1;1;1;1;1;2;1;1;1;1;1
B1909_DA_JANDAIA;AIAB1909;13/10/2012;20,49;1;0,0;0,47;6,46;10,59;12,48;1,63;4,69;-28,33;40,59;0,391;1,144;-0,431;2,744;3,296;-0,551;0,510;-0,02;72;74;69;73;48;_;44;29;60;65;42;42;42;44;33;31;10;1;1;1;2;1;1;1;2;1;8;1;1;8;3;5
